[2024-09-12 22:07:29,825][GRUtopia/logs/_log_20240912_220727.txt][INFO] - Loaded data with a total of 778 items from val_seen
[2024-09-12 22:07:40,495][asyncio][DEBUG] - Using selector: EpollSelector
[2024-09-12 22:07:53,913][omni.kit.telemetry.impl.sentry_extension][INFO] - sentry is disabled for external build
[2024-09-12 22:07:53,914][omni.kit.telemetry.impl.sentry_extension][INFO] - sentry is disabled for external build
[2024-09-12 22:07:55,804][AutoNode][DEBUG] - Defining data type 'any' as 'Any'
[2024-09-12 22:07:55,805][AutoNode][DEBUG] - Defining data type 'bool' as 'Bool' and array 'BoolArray
[2024-09-12 22:07:55,805][AutoNode][DEBUG] - Defining data type 'bundle' as 'Bundle'
[2024-09-12 22:07:55,805][AutoNode][DEBUG] - Defining data type 'colord[3]' as 'Color3d' and array 'Color3dArray
[2024-09-12 22:07:55,805][AutoNode][DEBUG] - Defining data type 'colorf[3]' as 'Color3f' and array 'Color3fArray
[2024-09-12 22:07:55,805][AutoNode][DEBUG] - Defining data type 'colorh[3]' as 'Color3h' and array 'Color3hArray
[2024-09-12 22:07:55,806][AutoNode][DEBUG] - Defining data type 'colord[4]' as 'Color4d' and array 'Color4dArray
[2024-09-12 22:07:55,806][AutoNode][DEBUG] - Defining data type 'colorf[4]' as 'Color4f' and array 'Color4fArray
[2024-09-12 22:07:55,806][AutoNode][DEBUG] - Defining data type 'colorh[4]' as 'Color4h' and array 'Color4hArray
[2024-09-12 22:07:55,806][AutoNode][DEBUG] - Defining data type 'double' as 'Double' and array 'DoubleArray
[2024-09-12 22:07:55,806][AutoNode][DEBUG] - Defining data type 'double[2]' as 'Double2' and array 'Double2Array
[2024-09-12 22:07:55,806][AutoNode][DEBUG] - Defining data type 'double[3]' as 'Double3' and array 'Double3Array
[2024-09-12 22:07:55,807][AutoNode][DEBUG] - Defining data type 'double[4]' as 'Double4' and array 'Double4Array
[2024-09-12 22:07:55,807][AutoNode][DEBUG] - Defining data type 'execution' as 'Execution'
[2024-09-12 22:07:55,807][AutoNode][DEBUG] - Defining data type 'float' as 'Float' and array 'FloatArray
[2024-09-12 22:07:55,807][AutoNode][DEBUG] - Defining data type 'float[2]' as 'Float2' and array 'Float2Array
[2024-09-12 22:07:55,808][AutoNode][DEBUG] - Defining data type 'float[3]' as 'Float3' and array 'Float3Array
[2024-09-12 22:07:55,808][AutoNode][DEBUG] - Defining data type 'float[4]' as 'Float4' and array 'Float4Array
[2024-09-12 22:07:55,808][AutoNode][DEBUG] - Defining data type 'frame[4]' as 'Frame' and array 'FrameArray
[2024-09-12 22:07:55,808][AutoNode][DEBUG] - Defining data type 'half' as 'Half' and array 'HalfArray
[2024-09-12 22:07:55,808][AutoNode][DEBUG] - Defining data type 'half[2]' as 'Half2' and array 'Half2Array
[2024-09-12 22:07:55,808][AutoNode][DEBUG] - Defining data type 'half[3]' as 'Half3' and array 'Half3Array
[2024-09-12 22:07:55,809][AutoNode][DEBUG] - Defining data type 'half[4]' as 'Half4' and array 'Half4Array
[2024-09-12 22:07:55,809][AutoNode][DEBUG] - Defining data type 'int' as 'Int' and array 'IntArray
[2024-09-12 22:07:55,809][AutoNode][DEBUG] - Defining data type 'int[2]' as 'Int2' and array 'Int2Array
[2024-09-12 22:07:55,809][AutoNode][DEBUG] - Defining data type 'int[3]' as 'Int3' and array 'Int3Array
[2024-09-12 22:07:55,809][AutoNode][DEBUG] - Defining data type 'int[4]' as 'Int4' and array 'Int4Array
[2024-09-12 22:07:55,810][AutoNode][DEBUG] - Defining data type 'int64' as 'Int64' and array 'Int64Array
[2024-09-12 22:07:55,810][AutoNode][DEBUG] - Defining data type 'matrixd[2]' as 'Matrix2d' and array 'Matrix2dArray
[2024-09-12 22:07:55,810][AutoNode][DEBUG] - Defining data type 'matrixd[3]' as 'Matrix3d' and array 'Matrix3dArray
[2024-09-12 22:07:55,810][AutoNode][DEBUG] - Defining data type 'matrixd[4]' as 'Matrix4d' and array 'Matrix4dArray
[2024-09-12 22:07:55,810][AutoNode][DEBUG] - Defining data type 'normald[3]' as 'Normal3d' and array 'Normal3dArray
[2024-09-12 22:07:55,810][AutoNode][DEBUG] - Defining data type 'normalf[3]' as 'Normal3f' and array 'Normal3fArray
[2024-09-12 22:07:55,811][AutoNode][DEBUG] - Defining data type 'normalh[3]' as 'Normal3h' and array 'Normal3hArray
[2024-09-12 22:07:55,811][AutoNode][DEBUG] - Defining data type 'objectId' as 'ObjectId' and array 'ObjectIdArray
[2024-09-12 22:07:55,811][AutoNode][DEBUG] - Defining data type 'path' as 'Path'
[2024-09-12 22:07:55,811][AutoNode][DEBUG] - Defining data type 'pointd[3]' as 'Point3d' and array 'Point3dArray
[2024-09-12 22:07:55,811][AutoNode][DEBUG] - Defining data type 'pointf[3]' as 'Point3f' and array 'Point3fArray
[2024-09-12 22:07:55,811][AutoNode][DEBUG] - Defining data type 'pointh[3]' as 'Point3h' and array 'Point3hArray
[2024-09-12 22:07:55,812][AutoNode][DEBUG] - Defining data type 'quatd[4]' as 'Quatd' and array 'QuatdArray
[2024-09-12 22:07:55,812][AutoNode][DEBUG] - Defining data type 'quatf[4]' as 'Quatf' and array 'QuatfArray
[2024-09-12 22:07:55,812][AutoNode][DEBUG] - Defining data type 'quath[4]' as 'Quath' and array 'QuathArray
[2024-09-12 22:07:55,812][AutoNode][DEBUG] - Defining data type 'string' as 'String'
[2024-09-12 22:07:55,812][AutoNode][DEBUG] - Defining data type 'target' as 'Target'
[2024-09-12 22:07:55,812][AutoNode][DEBUG] - Defining data type 'texcoordd[2]' as 'TexCoord2d' and array 'TexCoord2dArray
[2024-09-12 22:07:55,813][AutoNode][DEBUG] - Defining data type 'texcoordf[2]' as 'TexCoord2f' and array 'TexCoord2fArray
[2024-09-12 22:07:55,813][AutoNode][DEBUG] - Defining data type 'texcoordh[2]' as 'TexCoord2h' and array 'TexCoord2hArray
[2024-09-12 22:07:55,813][AutoNode][DEBUG] - Defining data type 'texcoordd[3]' as 'TexCoord3d' and array 'TexCoord3dArray
[2024-09-12 22:07:55,813][AutoNode][DEBUG] - Defining data type 'texcoordf[3]' as 'TexCoord3f' and array 'TexCoord3fArray
[2024-09-12 22:07:55,813][AutoNode][DEBUG] - Defining data type 'texcoordh[3]' as 'TexCoord3h' and array 'TexCoord3hArray
[2024-09-12 22:07:55,813][AutoNode][DEBUG] - Defining data type 'timecode' as 'Timecode' and array 'TimecodeArray
[2024-09-12 22:07:55,814][AutoNode][DEBUG] - Defining data type 'token' as 'Token' and array 'TokenArray
[2024-09-12 22:07:55,814][AutoNode][DEBUG] - Defining data type 'uchar' as 'UChar' and array 'UCharArray
[2024-09-12 22:07:55,814][AutoNode][DEBUG] - Defining data type 'uint' as 'UInt' and array 'UIntArray
[2024-09-12 22:07:55,814][AutoNode][DEBUG] - Defining data type 'uint64' as 'UInt64' and array 'UInt64Array
[2024-09-12 22:07:55,814][AutoNode][DEBUG] - Defining data type 'vectord[3]' as 'Vector3d' and array 'Vector3dArray
[2024-09-12 22:07:55,815][AutoNode][DEBUG] - Defining data type 'vectorf[3]' as 'Vector3f' and array 'Vector3fArray
[2024-09-12 22:07:55,815][AutoNode][DEBUG] - Defining data type 'vectorh[3]' as 'Vector3h' and array 'Vector3hArray
[2024-09-12 22:08:00,476][omni.kit.profiler.window][WARNING] - remove _SpanInstance.__lt__ and use insort 'key' arg instead
[2024-09-12 22:09:18,546][trimesh][DEBUG] - falling back to hashlib hashing: `pip install xxhash`for 50x faster cache checks
[2024-09-12 22:09:19,109][git.cmd][DEBUG] - Popen(['git', 'version'], cwd=/ssd/xiaxinyuan/code/w61-grutopia, stdin=None, shell=False, universal_newlines=False)
[2024-09-12 22:09:19,121][git.cmd][DEBUG] - Popen(['git', 'version'], cwd=/ssd/xiaxinyuan/code/w61-grutopia, stdin=None, shell=False, universal_newlines=False)
[2024-09-12 22:09:19,359][GRUtopia/logs/_log_20240912_220727.txt][INFO] - rendering interval: 5
[2024-09-12 22:09:19,360][GRUtopia/logs/_log_20240912_220727.txt][INFO] - scene_path: ../Matterport3D/data/v1/scans/5LpN3gDmAk7/matterport_mesh/9c6b166997ae486f96d011c1de0b3427/isaacsim_9c6b166997ae486f96d011c1de0b3427.usd
[2024-09-12 22:09:41,621][GRUtopia/logs/_log_20240912_220727.txt][INFO] - {'h1_0': <grutopia_extension.robots.humanoid.HumanoidRobot object at 0x14ca5eb6f910>}
[2024-09-12 22:09:41,621][GRUtopia/logs/_log_20240912_220727.txt][INFO] - {}
[2024-09-12 22:10:09,789][GRUtopia/logs/_log_20240912_220727.txt][INFO] - Initialized path id 37
[2024-09-12 22:10:09,791][GRUtopia/logs/_log_20240912_220727.txt][INFO] - Scan: 5LpN3gDmAk7
[2024-09-12 22:10:09,791][GRUtopia/logs/_log_20240912_220727.txt][INFO] - Instruction: Go to the bottom of the stairs. Go past the stairs and face the light switches. Go past the table and take a left. Go toward the man at the end of the hall. 
